"","day","D","T","P","H","n"
"1",1,1.82694654372475,20.9,0,63.4,45534
"2",2,1.81515700376984,21.1,0,71.5,41221
"3",3,1.8574891353915,18.6,9.906,39.5,55559
"4",4,1.8860837805652,18.7,0,37,59849
"5",5,1.81410713703259,22.8,0,61.5,57322
"6",6,1.82891879372599,24.6,1.27,64.7,58724
"7",7,1.82674291098863,21.6,0,67,58575
"8",8,1.88529211122666,21.4,0,52,45211
"9",9,1.87183665148872,19.7,0,52.9,43544
"10",10,1.66301258180334,17.8,0,88.4,27189
"11",11,1.83439871465178,20.8,29.21,66.3,56404
"12",12,1.86644929011677,19.6,0,48.7,60921
"13",13,1.72087510945329,16.7,0,76.5,35352
"14",14,1.82343655116114,19.4,16.51,55.5,56049
"15",15,1.81322112245606,23.6,0,39.7,11616
